EL (deg);8.66;8.66;8.66;8.66;8.66;8.66;8.66;8.66;8.66;8.66;8.66;4.33;4.33;4.33;4.33;4.33;4.33;4.33;4.33;4.33;4.33;0;0;0;0;0;0;0;0;0;0;0;-4.33;-4.33;-4.33;-4.33;-4.33;-4.33;-4.33;-4.33;-4.33;-4.33;-8.66;-8.66;-8.66;-8.66;-8.66;-8.66;-8.66;-8.66;-8.66;-8.66;-8.66;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13
AZ (deg);-25;-20;-15;-10;-5;0;5;10;15;20;25;22.5;17.5;12.5;7.5;2.5;-2.5;-7.5;-12.5;-17.5;-22.5;-25;-20;-15;-10;-5;0;5;10;15;20;25;22.5;17.5;12.5;7.5;2.5;-2.5;-7.5;-12.5;-17.5;-22.5;-25;-20;-15;-10;-5;0;5;10;15;20;25;22.5;17.5;12.5;7.5;2.5;-2.5;-7.5;-12.5;-17.5;-22.5
f (GHz);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB)
56;-96.63;-95.95;-86.69;-97.84;-91.71;-84.75;-90.05;-94.48;-89.04;-99.78;-95.63;-96.07;-86.38;-92.71;-93.24;-71.31;-72.09;-84.78;-95.03;-84.16;-94.85;-77.96;-93.27;-89.36;-90.23;-79.7;-71.49;-72.42;-86.06;-94.75;-90.02;-93.8;-94.68;-86.02;-94.57;-88.9;-72.53;-73.16;-89.09;-96.55;-87.11;-98.45;-101.04;-98.23;-86.64;-95.18;-91.31;-86.26;-91.51;-96.28;-88.14;-95.87;-97.22;-97.56;-93.48;-89.56;-92.95;-91.3;-92.08;-95.06;-89.21;-93.46;-105.24
56.1;-97.58;-100.02;-88.39;-100.69;-93.67;-84.72;-97.12;-92.32;-89.83;-98.68;-95.89;-98.39;-86.57;-91.48;-86.79;-73.26;-73.18;-87.57;-96.99;-86.47;-95.35;-78.41;-96.08;-95.64;-91.85;-78.03;-76.57;-76.04;-88.72;-98.78;-90.61;-95.31;-97.88;-86.99;-92.48;-89.91;-73.71;-74.41;-89.46;-92.47;-86.94;-105.74;-95.74;-102.22;-87.43;-95.13;-90.54;-86.62;-90.98;-93.74;-89.17;-98.08;-95.39;-96.32;-95.04;-90.93;-98.2;-89.67;-91.03;-92.97;-91.8;-94.86;-102.02
56.2;-95.29;-104.87;-92.91;-96.7;-104.55;-90.32;-101.32;-94.43;-93.39;-105.26;-100.04;-106.87;-91.66;-91.54;-92.88;-73.19;-77.65;-92.27;-92.22;-89.45;-95.59;-81.53;-99.76;-99.45;-96.1;-84.51;-70.11;-76.69;-93.27;-106.61;-96.21;-98.46;-103.53;-92.13;-92.68;-92.06;-75.15;-77.38;-93.65;-94.36;-91.62;-110.35;-96.44;-112.83;-89.69;-98.41;-94.77;-90.32;-93.8;-94.82;-92.98;-105.89;-97.51;-96.75;-102.2;-94.18;-98.35;-91.14;-91.69;-98.77;-94.37;-100.83;-106.65
56.3;-99.28;-113.88;-93.86;-98.41;-113.12;-88.4;-102.7;-97.49;-96.05;-105.18;-101.4;-103.97;-94.85;-92.01;-90.12;-73.86;-77.08;-94.39;-92.55;-93.66;-100.28;-83.75;-104.16;-99.8;-98.9;-86.85;-71.62;-82.2;-94.64;-98.22;-98.49;-100.23;-102.81;-94.65;-92.69;-92.94;-78.14;-79.46;-92.33;-93.56;-95.84;-113.77;-99.36;-107.83;-93.88;-96.21;-100.34;-92.77;-100.07;-95.37;-95.75;-107.78;-98.75;-97.3;-107.57;-95.74;-96.45;-93.48;-91.79;-98.55;-94.84;-103.02;-104.88
56.4;-118.68;-125.96;-105.3;-105.37;-111.17;-103.32;-111.85;-113.71;-111.84;-120.8;-114.24;-119.41;-110.32;-106.18;-107.27;-86.26;-91.51;-103.07;-100.87;-112.17;-109.24;-95.56;-123.86;-115.94;-108.71;-101.15;-80.27;-90.48;-103.22;-105.83;-113.3;-114.99;-114.77;-109.57;-104.84;-99.82;-90.5;-93.23;-105.27;-107.31;-123.82;-127.73;-112.84;-114.63;-109.46;-110.06;-120.41;-108.71;-117.08;-109.05;-109.3;-127.32;-112.8;-108.56;-121.61;-109.54;-106.71;-106.29;-106.39;-111.09;-108.85;-113.5;-111.68
56.5;-111.57;-112.17;-105.43;-112.97;-106.82;-96.74;-106.45;-109.36;-114.16;-115.18;-120.84;-114.31;-117.35;-108.1;-106.93;-87.44;-87.81;-107.55;-101.71;-104.14;-109.95;-96.71;-111.18;-113.59;-110.77;-100.26;-80.21;-100.61;-106.05;-114.13;-116.57;-116.25;-113.66;-121.05;-104.61;-106.93;-93.93;-93.63;-103.41;-108.63;-114.93;-125.86;-123.24;-117.77;-114.15;-112.6;-114.87;-110.39;-115.86;-108.64;-113.13;-116.31;-110.98;-108.93;-117.17;-108.01;-108.41;-113.74;-105.68;-113.71;-109.94;-116.46;-110.61
56.6;-111.9;-116.18;-107.93;-108.81;-109.27;-100.82;-115.12;-108.29;-120.65;-116.44;-115.89;-123.2;-116.34;-105.58;-104.71;-91.65;-92.7;-103.89;-101.81;-112.41;-109.99;-115.41;-111.41;-115.62;-121.63;-123.86;-94.03;-102.25;-112.57;-115.09;-118.62;-117.99;-125.16;-116.9;-114.68;-113.89;-91.27;-104.51;-111.05;-118.1;-113.23;-117.1;-121.15;-115.33;-118.01;-114.59;-117.63;-109.69;-116.1;-114.87;-117.12;-122.83;-116.14;-113.65;-123.18;-111.3;-113.63;-114.64;-118.13;-119.42;-109.19;-123.5;-117.83
56.7;-107.37;-108.06;-107.16;-103.29;-106.66;-97.67;-112.89;-104.32;-119.13;-107.81;-111.29;-110.18;-112.41;-103.2;-100.95;-87.14;-88.99;-101.91;-105.88;-114.65;-110.71;-100.94;-112.23;-111.06;-114.07;-108.94;-83.26;-111.06;-123.77;-110.45;-110.62;-115.58;-118.01;-115.48;-106.32;-118.48;-100.08;-95.72;-117.72;-121.93;-118.45;-107.45;-112.52;-115.4;-126.77;-119.54;-122.82;-105.1;-122.94;-117.5;-116.12;-121.92;-117.34;-113.36;-120.48;-119.25;-112.49;-123.73;-118.64;-118.54;-116.86;-120.39;-112.81
56.8;-107.48;-108.68;-110.21;-105.17;-110.46;-99.53;-106.73;-104.54;-115.62;-108.25;-111.2;-112.96;-111.03;-102.02;-101.55;-85.87;-90.14;-101.06;-103.12;-110.35;-116.21;-99.27;-114.96;-113.4;-110.1;-101.79;-81.03;-93.11;-109.37;-108.81;-108.23;-111.92;-111.63;-112.04;-107.59;-116.41;-87.68;-92.02;-118.08;-107.91;-121.25;-110.32;-110.47;-114.92;-116.91;-110.61;-115.57;-101.96;-109.88;-117.21;-113.96;-117.68;-113.98;-114.61;-118.98;-113.07;-110.3;-119.69;-116.14;-113.92;-115.83;-123.04;-114.29
56.9;-98.07;-100.68;-94.79;-90.65;-97.36;-86.93;-92.83;-93.56;-108.69;-97.54;-99.04;-99.36;-100.84;-89.49;-85.28;-74.15;-76;-92.96;-89.01;-94.72;-103.57;-84.41;-95.72;-99.34;-90.62;-94.81;-70.77;-78.67;-99.95;-94.71;-98.97;-102.46;-100.11;-103.31;-89.59;-94.56;-74.25;-79.09;-107.55;-91.68;-101.19;-97.4;-97.67;-97.76;-101.52;-94.63;-99.69;-89.71;-97.14;-97.86;-106.07;-104.32;-100.98;-100.87;-107.65;-98.88;-98.95;-98.42;-99.18;-99.74;-97.47;-101.55;-99.9
57;-100.02;-101.97;-100.87;-96;-97.47;-88.66;-96.62;-93.44;-110.55;-99.14;-100.09;-100.57;-105.03;-89.3;-93.88;-74.58;-76.93;-93.31;-91.51;-122.03;-98.76;-87.61;-98.51;-107.92;-93.69;-85.01;-70.87;-81.86;-98.68;-93.97;-99.4;-99.8;-100.24;-109.48;-90.9;-96.47;-77.14;-79.01;-105.8;-96.14;-112.14;-97.42;-99.86;-99.88;-113.8;-96.64;-101.91;-93.78;-99.76;-97.21;-108.06;-102.35;-101.97;-105.31;-104.62;-100.76;-98.77;-100.92;-98.4;-100.84;-104.44;-104.2;-102.99
